survey,item,variable,values,question_text,response_categories,agreed,categories,notes
abk2016_us,gen_clicon_4,ccc_1,c(4:1),"In your view, how serious of a problem is global climate change?",Very serious 1 Somewhat serious  Not too serious    Not a problem 4,NA,NA,experiment
abk2016_us,gen_clicon_4,ccc_2,c(4:1),When do you think global climate change will harm people?,It is harming people around the world now1 It will harm people in the next few years 2   It will not harm people for many years 3   It will never harm people 4,NA,NA,NA
abk2016_us,gen_clicon_4,ccc_3,c(4:1),"How concerned are you, if at all, that global climate change will harm you personally at some point in your lifetime?",Very concerned 1  Somewhat concerned    Not too concerned Not at all concerned 4,NA,NA,NA
abk2016_us,climate_chg_3,ccknow_1,"c(2,3,1)",Climate change knowledge - Earth's temperature increasing,Yes  1    No 2Don't know enough to say    3,NA,NA,NA
abk2016_us,climate_chg_3,ccknow_3,"c(2,3,1)",Climate change knowledge - stop burning fossil fuels today stops global warming,True     1  False 2 Don't know enough to say 3,NA,NA,NA
abk2016_us,gen_clicon_5,ccint_1,c(1:5),Climate change interest - attention on climate change issue and discussion,Never  1   Rarely  Sometimes      Often Very often 5,NA,NA,conjoint experiment????
abk2016_us,env_knowledge_4,ccint_3,c(4:1),Climate change interest - environmental issues,Very well informed1  Fairly well informed Fairly badly informed   Very badly informed 4,NA,NA,NA
abk2016_de,gen_clicon_4,ccc_1,c(4:1),"In your view, how serious of a problem is global climate change?",Very serious 1 Somewhat serious  Not too serious    Not a problem 4,NA,NA,NA
abk2016_de,gen_clicon_4,ccc_2,c(4:1),When do you think global climate change will harm people?,It is harming people around the world now1 It will harm people in the next few years 2   It will not harm people for many years 3   It will never harm people 4,NA,NA,NA
abk2016_de,gen_clicon_4,ccc_3,c(4:1),"How concerned are you, if at all, that global climate change will harm you personally at some point in your lifetime?",Very concerned 1  Somewhat concerned    Not too concerned Not at all concerned 4,NA,NA,NA
abk2016_de,climate_chg_3,ccknow_1,"c(2,3,1)",Climate change knowledge - Earth's temperature increasing,Yes  1    No 2Don't know enough to say    3,NA,NA,NA
abk2016_de,climate_chg_3,ccknow_3,"c(2,3,1)",Climate change knowledge - stop burning fossil fuels today stops global warming,True     1  False 2 Don't know enough to say 3,NA,NA,NA
abk2016_de,gen_clicon_5,ccint_1,c(1:5),Climate change interest - attention on climate change issue and discussion,Never  1   Rarely  Sometimes      Often Very often 5,NA,NA,NA
abk2016_de,env_knowledge_4,ccint_3,c(4:1),Climate change interest - environmental issues,Very well informed1  Fairly well informed Fairly badly informed   Very badly informed 4,NA,NA,NA
ess8,spe_indchge_11,eneffap,c(0:10),How likely to buy most energy efficient home appliance,Not at all likely 0 extremely likely 10,NA,NA,NA
ess8,spe_indchge_6,rdcenr,c(1:6),"There are some things that can be done to reduce energy use, such as switching off appliances that are not being used, walking for short journeys, or only using the heating or air conditioning when really needed. In your daily life, how often do you do things to reduce your energy use?",Never 1    Hardly ever    2     Sometimes 3                   Often 4    Very often 5   Always 6  Cannot reduce energy use 55,NA,NA,Cannot reduce energy use 55 ??? Num = 233
ess8,sup_govaction_5,elgcoal,c(1:5),"The highlighted box at the top of this card shows a number of energy sources that can be used to generate electricity. Please take a moment to look over them. How much of the electricity used in [country] should be generated
from each energy source? First, how much of the electricity used in [country] should be generated from coal?",1A very large amount.5  None at all 55I have not heard of this energy source before,NA,NA,?  More --> not concern?   less doesn't mean not concern
ess8,sup_govaction_5,elgngas,c(1:5),How much electricity in [country] should be generated from natural gas,1A very large amount.5  None at all 55I have not heard of this energy source before,NA,NA,?  More --> not concern?   less doesn't mean not concern
ess8,sup_govaction_5,elghydr,c(5:1),How much electricity in [country] should be generated from hydroelectric power,1A very large amount.5  None at all 55I have not heard of this energy source before,NA,NA,?  More --> not concern?   less doesn't mean not concern
ess8,sup_govaction_5,elgnuc,c(5:1),How much electricity in [country] should be generated from nuclear power,1A very large amount.5  None at all 55I have not heard of this energy source before,NA,NA,?  More --> not concern?   less doesn't mean not concern
ess8,sup_govaction_5,elgsun,c(5:1),How much electricity in [country] should be generated from solar power,1A very large amount.5  None at all 55I have not heard of this energy source before,NA,NA,?  More --> not concern?   less doesn't mean not concern
ess8,sup_govaction_5,elgwind,c(5:1),How much electricity in [country] should be generated from wind power,1A very large amount.5  None at all 55I have not heard of this energy source before,NA,NA,?  More --> not concern?   less doesn't mean not concern
ess8,sup_govaction_5,elgbio,c(5:1),How much electricity in [country] should be generated from biomass energy,1A very large amount.5  None at all 55I have not heard of this energy source before,NA,NA,?  More --> not concern?   less doesn't mean not concern
ess8,gen_clicon_5,wrntdis,c(1:5),"How worried, energy supply interrupted by natural disasters or extreme weather",Not at all worried   1 Not very worried   Somewhat worried       Very worried  Extremely worried 5,NA,NA,NA
ess8,climate_chg_4,clmchng,c(4:1),You may have heard the idea that the world's climate is changing due to increases in temperature over the past 100 years. What is your personal opinion on this? Do you think the world's climate is changing?,Definitely changing   1    Probably changing   Probably not changing Definitely not changing  4,NA,NA,NA
ess8,climate_tax_5,inctxff,c(5:1),"To what extent are you in favour or against the following policies in [country]
to reduce climate change? Increasing taxes on fossil fuels, such as oil, gas and
coal.",Strongly in favour      1      Somewhat in favour Neither in favour nor against              Somewhat against              Strongly against 5,NA,NA,NA
ess8,sup_govaction_5,sbsrnen,c(5:1),To what extent are you in favour or against the following policies in [country] to reduce climate change? Using public money to subsidise renewable energy such as wind and solar power.,Strongly in favour      1      Somewhat in favour Neither in favour nor against              Somewhat against              Strongly against 5,NA,NA,NA
ess8,sup_govaction_5,banhhap,c(5:1),To what extent are you in favour or against the following policies in [country] to reduce climate change? A law banning the sale of the least energy efficient household appliances.,Strongly in favour      1      Somewhat in favour Neither in favour nor against              Somewhat against              Strongly against 5,NA,NA,NA
ess_combo,gen_evncon_6,impenv,c(6:1),Important to care for nature and environment,Very much like me  1          Like me   Somewhat like me   A little like me        Not like me Not like me at all   6         Refusal         Don't know          No answer,NA,NA,NA
ess10_c,gen_evncon_6,impenv,c(6:1),Important to care for nature and environment,Very much like me  1          Like me   Somewhat like me   A little like me        Not like me Not like me at all   6         Refusal         Don't know          No answer,NA,NA,NA
ess10_c,climate_chg_6,ccnthum,"C(55,1, 2, 3, 4, 5)","Climate change caused by natural processes, human activity, or both",Entirely by natural processes                     1      Mainly by natural processes 2 About equally by natural processes and human 3   Mainly by human activity        4                    Entirely by human activity    5         I don't think climate change is happening     55       Refusal      NA                                      Don't know     NA   No answer  NA,NA,NA,NA
ess10_c,gen_clicon_5,wrclmch,C(1:5),How worried about climate change,"Not at all worried 1  Not very worried  2 Somewhat worried      3 Very worried 4 Extremely worried  5   Not applicable    NA        Refusal      NA   Don't know  NA        No answer NA 
",NA,NA,NA
