"survey","item","variable","values"
"abk2016_us","gen_clicon_4","ccc_1","c(4:1)"
"abk2016_us","gen_clicon_4","ccc_2","c(4:1)"
"abk2016_us","gen_clicon_4","ccc_3","c(4:1)"
"abk2016_us","climate_chg_3","ccknow_1","c(2,3,1)"
"abk2016_us","climate_chg_3","ccknow_3","c(2,3,1)"
"abk2016_us","gen_clicon_5","ccint_1","c(1:5)"
"abk2016_us","env_knowledge_4","ccint_3","c(4:1)"
"abk2016_de","gen_clicon_4","ccc_1","c(4:1)"
"abk2016_de","gen_clicon_4","ccc_2","c(4:1)"
"abk2016_de","gen_clicon_4","ccc_3","c(4:1)"
"abk2016_de","climate_chg_3","ccknow_1","c(2,3,1)"
"abk2016_de","climate_chg_3","ccknow_3","c(2,3,1)"
"abk2016_de","gen_clicon_5","ccint_1","c(1:5)"
"abk2016_de","env_knowledge_4","ccint_3","c(4:1)"
"ess8","spe_indchge_11","eneffap","c(0:10)"
"ess8","spe_indchge_6","rdcenr","c(1:6)"
"ess8","sup_govaction_5","elgcoal","c(1:5)"
"ess8","sup_govaction_5","elgngas","c(1:5)"
"ess8","sup_govaction_5","elghydr","c(5:1)"
"ess8","sup_govaction_5","elgnuc","c(5:1)"
"ess8","sup_govaction_5","elgsun","c(5:1)"
"ess8","sup_govaction_5","elgwind","c(5:1)"
"ess8","sup_govaction_5","elgbio","c(5:1)"
"ess8","gen_clicon_5","wrntdis","c(1:5)"
"ess8","climate_chg_4","clmchng","c(4:1)"
"ess8","climate_tax_5","inctxff","c(5:1)"
"ess8","sup_govaction_5","sbsrnen","c(5:1)"
"ess8","sup_govaction_5","banhhap","c(5:1)"
"ess_combo","gen_evncon_6","impenv","c(6:1)"
"ess10_c","gen_evncon_6","impenv","c(6:1)"
"ess10_c","climate_chg_6","ccnthum","C(55,1, 2, 3, 4, 5)"
"ess10_c","gen_clicon_5","wrclmch","C(1:5)"
"eib2021","gen_clicon_2","q1r3","c(2:1)"
"eib2021","gen_clicon_2","q3","c(1:4)"
"eib2021","ind_change_4","q5","c(4, 3, 1, 2)"
"eib2021","sup_govaction_2","q9_new","c(0:1)"
"eib2021","gen_clicon_2","q12_new","c(0:1)"
"eib2021","priority_concern_2","q13","c(1:2)"
"eib2021","climate_indbeh_2","q14","c(1:2)"
"eib2021","sup_govaction_2","q18r1","c(2:1)"
"eib2021","climate_tax_2","q18r2","c(2:1)"
"eib2021","sup_govaction_2","q18r3","c(2:1)"
"eib2021","sup_govaction_2","q18r4","c(2:1)"
"eib2021","sup_govaction_2","q18r5","c(2:1)"
"eib2021","climate_tax_2","q19r1","c(2:1)"
"eib2021","sup_govaction_2","q19r2","c(2:1)"
"eib2021","sup_govaction_2","q19r3","c(2:1)"
"eib2021","sup_govaction_2","q19r4","c(2:1)"
"eib2021","climate_tax_2","q19r5","c(2:1)"
"eib2021","sup_govaction_2","q19r6","c(1:2)"
"eib2021","sup_govaction_2","q19r8","c(2:1)"
"eib2022","gen_clicon_2","q1r3","c(2:1)"
"eib2022","gen_clicon_2","q2","c(1:2)"
"eib2022","gen_clicon_4","q3","c(1:4)"
"eib2022","climate_indbeh_2","q8","c(1:2)"
"eib2022","sup_govaction_4","q9r1","c(1,3, 4,2)"
"eib2022","climate_tax_4","q9r2","c(1,3, 4,2)"
"eib2022","sup_govaction_4","q9r3","c(1,3, 4,2)"
"eib2022","sup_govaction_4","q9r4","c(1,3, 4,2)"
"pew2021","climate_concern_4","climate_concern","c(4:1)"
"pew2021","gen_indchge_4","climate_behavior","c(4:1)"
"pew2021","intcomm_coop_4","climate_intlcommunity","c(4:1)"
"pipa2007","gen_clicon_3","q3.7","c(3:1)"
"pipa2007","gen_clicon_3","q262","c(1:3)"
"pipa2009","gen_clicon_4","q1","c(4:1)"
"pipa2009","gen_clicon_3","q2","c(2,3,1)"
"pipa2009","climate_eco_4","q3","c(4:1)"
"pipa2009","air_health_4","q4a","c(1:4)"
"pipa2009","gh_env_4","q4b","c(1:4)"
"pipa2009","gh_env_4","q4c","c(1:4)"
"pipa2009","air_health_4","q4d","c(1:4)"
"pipa2009","gh_env_4","q4e","c(1:4)"
"pipa2009","gh_env_4","q4f","c(1:4)"
"pipa2009","air_health_4","q4g","c(1:4)"
"pipa2009","gen_clicon_6","q7","c(6:1)"
"pipa2009","gen_clicon_3","q8","c(1,3,2)"
"pipa2009","gen_clicon_2","q9","c(2:1)"
"pipa2009","intcomm_coop_2","q11","c(2:1)"
"pipa2009","intcomm_coop_2","q12","c(2:1)"
"pipa2009","sup_govaction_2","q13","c(2:1)"
"pipa2009","climate_indtax_2","q14","c(2:1)"
"pipa2009","sup_govaction_4","q15a","c(4:1)"
"pipa2009","sup_govaction_4","q15b","c(4:1)"
"pipa2009","sup_govaction_4","q15c","c(4:1)"
"pipa2009","sup_govaction_4","q15d","c(4:1)"
"pipa200907","climate_pri_11","cc2","c(0:10)"
"ca2019","sup_cp_2","support_cp","c(0:1)"
"cacombo","climate_trade_2","captrade_bin","c(0:1)"
"cacombo","climate_tax_2","carbon_tax_bin","c(0:1)"
"swiss2019","climate_chg_2","climscep","c(0:1)"
"autnes2020_w13","gen_clicon_11","w13_q21","c(0:10)"
"autnes2020_w13","climate_eco_5","w13_q22x4","c(1:5)"
"autnes2020_w13","climate_pri_5","w13_q24x3","c(1:5)"
"autnes2020_w13","gen_clicon_5","w13_q24x4","c(1:5)"
"autnes2020_w13","gen_indchge_5","w13_q24x2","c(1:5)"
"autnes2020_w13","gen_indchge_5","w13_q24x5","c(1:5)"
"autnes2020_w13","gen_indchge_5","w13_q24x6","c(5:1)"
"autnes2020_w13","climate_tax_5","w13_q22x1","c(5:1)"
"autnes2020_w13","climate_tax_5","w13_q22x6","c(1:5)"
"autnes2020_w13","intcomm_coop_5","w13_q22x7","c(5:1)"
"autnes2020_w13","climate_indbeh_5","w13_q22x8","c(5:1)"
"autnes2020_w13","sup_govaction_11","w13_q23","c(0:10)"
"autnes2020_w13","climate_indtax_5","w13_q24x1","c(5:1)"
"autnes2020_w13","climate_chg_5","w13_q22x3","c(1:5)"
"autnes2020_w13","climate_eco_5","w13_q22x5","c(5:1)"
"autnes2019_w12","climate_tax_6","w12_q40x4","c(6:1)"
"autnes2019_w11","gen_evncon_5","w11_q42x8","c(5:1)"
"autnes2019_w10","climate_chg_11","w10_q22x2","c(0:10)"
"autnes2019_w9","climate_chg_11","w9_q30x2","c(0:10)"
"autnes2019_w9","climate_chg_5","w9_q60x2","c(5:1)"
"autnes2019_w9","climate_chg_5","w9_q60x3","c(1:5)"
"autnes2019_w9","climate_chg_5","w9_q60x4","c(1:5)"
"autnes2019_w9","gen_clicon_5","w9_q60x1","c(1:5)"
"autnes2019_w8","envimp_eco_11","w8_q39x1","c(10:0)"
"autnes2019_w7","gen_evncon_5","w7_q22x8","c(5:1)"
"autnes2017_w4","gen_evncon_5","w4_q50x8","c(5:1)"
"autnes2017_w1","gen_evncon_5","w1_q44x8","c(5:1)"
"eib2022","gen_evncon_2","q1r10","c(2:1)"
"pipa2007","env_concern_3","q5.10","c(3:1)"
"evs_combo","envact_income_4","b001","c(4:1)"
"evs_combo","envact_buy_4","b004","c(4:1)"
"evs_combo","envimp_unemp_4","b006","c(1:4)"
"evs_combo","gen_evncon_4","b007","c(1:4)"
"evs_combo","envimp_eco_2","b008","c(2:1)"
"evs_combo","gen_evncon_4","b024","c(4:1)"
"evs_combo","gen_evncon_4","b025","c(4:1)"
"evs_combo","gen_evncon_4","b026","c(1:4)"
"evs_combo","gen_evncon_4","b027","c(1:4)"
"evs_combo","gen_evncon_4","b028","c(1:4)"
"evs_combo","gen_evncon_4","b029","c(4:1)"
"evs_combo","envact_taxex_4","b002","c(4:1)"
"evs_combo","envact_govaction_4","b003","c(4:1)"
"evs2017","envimp_ind_5","v200","c(1:5)"
"evs2017","envact_income_5","v199","c(5:1)"
"evs2017","gen_evncon_5","v201","c(1:5)"
"evs2017","gen_evncon_5","v202","c(1:5)"
"evs2017","gen_evncon_5","v203","c(1:5)"
"evs2017","envimp_eco_2","v204","c(2:1)"
"asianb4","envimp_eco_2","q154","c(2:1)"
"asianb5_australia","envimp_eco_2","q154","c(2:1)"
"kgss","gen_evncon_5","grncon","c(1:5)"
"kgss","gen_clicon_2","entrbus","c(0:1)"
"kgss","gen_clicon_2","enprbfam","c(0:1)"
"kgss","gh_env_5","tempgen","c(5:1)"
"kgss","climate_chg_4","atmoshol","c(1:4)"
"kgss","climate_chg_4","coalcauz","c(4:1)"
"kgss","gen_clicon_7","capa2","c(7:1)"
"kgss","gen_clicon_7","expos2","c(7:1)"
"kgss","gen_clicon_7","vulnerab2","c(7:1)"
"kgss","gen_clicon_7","haza2","c(7:1)"
"kgss","gen_evncon_5","carsgen","c(5:1)"
"kgss","gen_evncon_5","indusgen","c(5:1)"
"kgss","gen_evncon_4","airpol","c(4:1)"
"kgss","spe_indchge_4","drivless","c(4:1)"
"kgss","spe_indchge_4","redcehme","c(4:1)"
"kgss","gen_evncon_5","scigrn","c(1:5)"
"kgss","envimp_unemp_5","grnecon","c(1:5)"
"kgss","gen_evncon_5","grnprog","c(1:5)"
"kgss","gen_evncon_5","popgrwth","c(5:1)"
"kgss","evn_indchange_5","grnprice","c(5:1)"
"kgss","evn_indchange_5","grntaxes","c(5:1)"
"kgss","evn_indchange_5","grnsol","c(5:1)"
"kgss","envact_govspend_3","natenvir","c(3:1)"
"kgss","envact_govspend_5","govspd1","c(5:1)"
"kgss","envact_strpolicy_4","govres10","c(4:1)"
"kgss","evn_indchange_5","toodifme","c(1:5)"
"kgss","evn_indchange_4","recycle","c(4:1)"
"kgss","evn_indchange_4","chemfree","c(4:1)"
"kgss","evn_indchange_4","h2oless","c(4:1)"
"kgss","evn_indchange_4","nobuygrn","c(4:1)"
"kgss","evn_indchange_2","grngroup","c(2:1)"
"kgss","evn_indchange_2","grnsign","c(2:1)"
"kgss","evn_indchange_2","grnmoney","c(2:1)"
"kgss","evn_indchange_2","grndemo","c(2:1)"
"kgss","evn_indchange_4","locpar1","c(4:1)"
"kgss","knw_cause_5","knwcause","c(1:5)"
"kgss","knw_solution_5","knowsol","c(1:5)"
"kgss","knw_cause_5","harmsgrn","c(1:5)"
"kgss","knw_cause_5","grwtharm","c(1:5)"
"kgss","knw_cause_5","helpharm","c(1:5)"
"kgss","evn_indchange_5","ihlpgrn","c(5:1)"
"kgss","envimp_5","impgrn","c(1:5)"
"kgss","evn_indchange_5","othssame","c(1:5)"
"kgss","gen_evncon_5","grnexagg","c(1:5)"
"kgss","envimp_life_5","grneffme","c(5:1)"
"kgss","gen_evncon_5","chemgen","c(5:1)"
"kgss","gen_evncon_5","watergen","c(5:1)"
"kgss","gen_evncon_5","econgrn","c(5:1)"
"kgss","gen_evncon_7","vulnerab26","c(7:1)"
"kgss","gen_evncon_7","vulnerab27","c(7:1)"
"kgss","gen_evncon_7","expos26","c(7:1)"
"kgss","gen_evncon_7","expos27","c(7:1)"
"allbus","spe_evncon_4","he03","c(4:1)"
"allbus","spe_evncon_4","he05","c(4:1)"
"allbus","spe_evncon_4","he06","c(4:1)"
"allbus","envact_strpolicy_5","pa11","c(5:1)"
"asiab2004","gen_evncon_2","q24_5","c(0:1)"
"asiab2003","gen_evncon_2","q19_5","c(0:1)"
"asiab2006","envimp_life_2","q9_25","c(0:1)"
"asiab2006","gen_evncon_2","q25_5","c(0:1)"
"asiab2005","gen_evncon_2","q25_5","c(0:1)"
"asiab2008","envimp_life_2","q10_25","c(0:1)"
"asiab2008","gen_evncon_2","q27_5","c(0:1)"
"asiab2007","envimp_life_2","q10_25","c(0:1)"
"asiab2007","gen_evncon_2","q26_5","c(0:1)"
"wvs_combo","envact_income_4","b001","c(4:1)"
"wvs_combo","envact_buy_4","b004","c(4:1)"
"wvs_combo","envimp_unemp_4","b006","c(1:4)"
"wvs_combo","gen_evncon_4","b007","c(1:4)"
"wvs_combo","envimp_eco_3","b008","c(2,3,1)"
"wvs_combo","gh_env_4","b021","c(4:1)"
"wvs_combo","env_seriplant_4","b022","c(4:1)"
"wvs_combo","env_seririver_4","b023","c(4:1)"
"wvs_combo","envact_product_2","b011","c(0:1)"
"wvs_combo","envact_recycle_2","b012","c(0:1)"
"wvs_combo","envact_water_2","b013","c(0:1)"
"wvs_combo","envact_petition_2","b014","c(0:1)"
"wvs_combo","envact_envorg_2","b015","c(0:1)"
"wvs_combo","envact_envorg_2","b030","c(2:1)"
"wvs_combo","envact_petition_2","b031","c(2:1)"
"wvs_combo","envact_taxex_4","b002","c(4:1)"
"wvs_combo","envact_govaction_4","b003","c(4:1)"
"asiab2004","envact_govspend_5","q28a","c(5:1)"
"asiab2003","envact_govspend_5","q23_a","c(5:1)"
"asiab2006","envact_govspend_5","q32a","c(5:1)"
"asiab2005","envact_govspend_5","q29a","c(5:1)"
"asiab2008","envact_govspend_5","q34a","c(5:1)"
"asiab2007","envact_govspend_5","q33a","c(5:1)"
"eb973_c","climate_pri_2","qa4_new","c(0:1)"
"eb973","climate_pri_2","qc8_6","c(0:1)"
"eb973","climate_pri_4","qc9_3","c(4:1)"
"eb973","climate_chg_4","qc12_2","c(4:1)"
"eb973","climate_eco_4","qc12_3","c(1:4)"
"eb973","climate_chg_4","qc12_4","c(4:1)"
"eb972","sup_govaction_3","qb9","c(3,1, 2)"
"eb972","gh_env_4","qb3_4","c(4:1)"
"eb972","air_health_4","qb3_1","c(4:1)"
"eb972","air_health_4","qb3_2","c(4:1)"
"eb972","air_health_4","qb3_3","c(4:1)"
"eb963","gen_clicon_2","qa3_13","c(0:1)"
"eb963","gen_clicon_2","qa4_13","c(0:1)"
"eb962_c","gen_clicon_2","qa4_c","c(0:1)"
"eb953","gen_clicon_2","qa3a_14","c(0:1)"
"eb953","gen_clicon_2","qa4a_13","c(0:1)"
"eb953","gen_clicon_2","qa5_11","c(0:1)"
"eb952","gen_clicon_3","qa2_6","c(3:1)"
"eb952","climate_chg_2","qa20_9","c(2:1)"
"eb951_c","gen_clicon_2","qa9_c","c(0:1)"
"eb951_c","gen_clicon_2","qb1_c","c(0:1)"
"eb951_c","gen_clicon_10","qb2","c(1:10)"
"eb951_c","sup_govaction_3","qb7","c(3,1, 2)"
"eb951_c","sup_govaction_4","qb10","c(4:1)"
"eb943","gen_clicon_2","qa3a_14","c(0:1)"
"eb943","gen_clicon_2","qa4a_13","c(0:1)"
"eb943","gen_clicon_2","qa5_11","c(0:1)"
"eb942_c","gen_clicon_2","qb2_c","c(0:1)"
"eb941","gen_clicon_2","qa11_8","c(0:1)"
"eb941","gen_clicon_2","qa12_2","c(0:1)"
"eb941","gen_clicon_2","qa16_1","c(0:1)"
"tt2009","gen_clicon_4","q22_1","c(4:1)"
"tt2009","climate_eco_2","q28","c(2:1)"
"tt2009","gen_indchge_4","q26_2","c(4:1)"
"tt2005_c","gen_clicon_3","var032","c(3:1)"
"tt2005_c","gen_clicon_4","var039","c(4:1)"
"tt2006","gen_clicon_3","var042","c(3:1)"
"tt2006","gen_clicon_4","var051","c(4:1)"
