country,year,item,r,n,survey,cc_rank
Germany,1992,gen_clicon_2,1,1489.4538254949284,"eb370, eb370",536
Germany,1992,gen_clicon_2,2,2824.315941167934,"eb370, eb370",536
Germany,1992,gen_clicon_4,1,12.423308398096946,eb370,536
Germany,1992,gen_clicon_4,2,123.76122643450472,eb370,536
Germany,1992,gen_clicon_4,3,569.1696667,eb370,536
Germany,1992,gen_clicon_4,4,1454.3146853227709,eb370,536
Germany,1993,climate_chg_4,1,818.5451734315767,issp1993,536
Germany,1993,climate_chg_4,2,608.5617194691457,issp1993,536
Germany,1993,climate_chg_4,3,126.73227655025917,issp1993,536
Germany,1993,climate_chg_4,4,193.0827702739037,issp1993,536
Germany,1993,ghtem_serious_2,1,166.07275388688487,issp1993,536
Germany,1993,ghtem_serious_2,2,443.8783132948926,issp1993,536
Germany,1993,ghtem_serious_2,3,697.0503721401201,issp1993,536
Germany,1993,ghtem_serious_2,4,506.3715390268884,issp1993,536
Germany,1993,ghtem_serious_4,1,109.23746390567237,"issp1993, issp1993",536
Germany,1993,ghtem_serious_4,2,557.2746798929825,"issp1993, issp1993",536
Germany,1993,ghtem_serious_4,3,1617.091052157638,"issp1993, issp1993",536
Germany,1993,ghtem_serious_4,4,1234.7005155921788,"issp1993, issp1993",536
Germany,1995,climate_chg_2,1,11204.84281639526,"eb391, eb391, eb391, eb391, eb391, eb391, eb391, eb391, eb391, eb391, eb391, eb391",536
Germany,1995,climate_chg_2,2,12136.728253323021,"eb391, eb391, eb391, eb391, eb391, eb391, eb391, eb391, eb391, eb391, eb391, eb391",536
Germany,1995,gen_clicon_4,1,43.30478243713808,"eb431, eb431",536
Germany,1995,gen_clicon_4,2,268.38165841375235,"eb431, eb431",536
Germany,1995,gen_clicon_4,3,927.1835311536565,"eb431, eb431",536
Germany,1995,gen_clicon_4,4,1987.0283732505627,"eb431, eb431",536
Germany,1999,gen_clicon_3,1,792.9019343,"eb511_c, eb511_c, eb511_c",536
Germany,1999,gen_clicon_3,2,1360.860138076877,"eb511_c, eb511_c, eb511_c",536
Germany,1999,gen_clicon_3,3,3622.6503589091885,"eb511_c, eb511_c, eb511_c",536
Germany,1999,gen_clicon_4,1,227.3480723092597,"eb511_c, eb511_c, eb511_c",536
Germany,1999,gen_clicon_4,2,941.5698540055042,"eb511_c, eb511_c, eb511_c",536
Germany,1999,gen_clicon_4,3,2385.6180823337986,"eb511_c, eb511_c, eb511_c",536
Germany,1999,gen_clicon_4,4,2340.403969790408,"eb511_c, eb511_c, eb511_c",536
Germany,2000,climate_chg_4,1,587.5896269904265,"issp2000, issp2000",536
Germany,2000,climate_chg_4,2,626.6954212781852,"issp2000, issp2000",536
Germany,2000,climate_chg_4,3,720.9504126384243,"issp2000, issp2000",536
Germany,2000,climate_chg_4,4,700.8961591575224,"issp2000, issp2000",536
Germany,2000,ghtem_serious_5,1,2.005425348090193,issp2000,536
Germany,2000,ghtem_serious_5,2,38.10308161371366,issp2000,536
Germany,2000,ghtem_serious_5,3,260.7052952517251,issp2000,536
Germany,2000,ghtem_serious_5,4,622.6845705820049,issp2000,536
Germany,2000,ghtem_serious_5,5,480.2993708676012,issp2000,536
Germany,2002,climate_chg_2,1,3566.388840703213,"eb570, eb570, eb570, eb570, eb570, eb570, eb570",536
Germany,2002,climate_chg_2,2,7960.474268193568,"eb570, eb570, eb570, eb570, eb570, eb570, eb570",536
Germany,2002,gen_clicon_2,1,81.24133758804004,eb570,536
Germany,2002,gen_clicon_2,2,1818.131778125989,eb570,536
Germany,2002,spe_indchge_2,1,1260.240616006982,eb570,536
Germany,2002,spe_indchge_2,2,807.5544152783921,eb570,536
Germany,2004,gen_clicon_2,1,675.7671739098232,eb621,536
Germany,2004,gen_clicon_2,2,885.2731119894584,eb621,536
Germany,2005,gen_clicon_3,1,100.54036229604704,tt2005_c,536
Germany,2005,gen_clicon_3,2,444.88385670346014,tt2005_c,536
Germany,2005,gen_clicon_3,3,450.2463694727089,tt2005_c,536
Germany,2005,gen_clicon_4,1,85.24095188,tt2005_c,536
Germany,2005,gen_clicon_4,2,196.23621699060993,tt2005_c,536
Germany,2005,gen_clicon_4,3,359.5152084899107,tt2005_c,536
