country,year,item,r,n,survey,cc_rank
United States,2006,concern_global4,1,76.5861301037233,wvs_combo,938
United States,2006,concern_global4,2,161.002887320298,wvs_combo,938
United States,2006,concern_global4,3,387.701034587365,wvs_combo,938
United States,2006,concern_global4,4,587.957082473361,wvs_combo,938
United States,2008,belief3,1,209.809695457276,ypccc_combo,938
United States,2008,belief3,2,411.669023522344,ypccc_combo,938
United States,2008,belief3,3,1536.14098618236,ypccc_combo,938
United States,2008,cause4,1,77.8635981330006,ypccc_combo,938
United States,2008,cause4,2,693.682055547853,ypccc_combo,938
United States,2008,cause4,3,113.615250242618,ypccc_combo,938
United States,2008,cause4,4,1224.36657886224,ypccc_combo,938
United States,2008,concern4,1,285.833208558621,ypccc_combo,938
United States,2008,concern4,2,518.513960903924,ypccc_combo,938
United States,2008,concern4,3,986.655594066269,ypccc_combo,938
United States,2008,concern4,4,356.336466564998,ypccc_combo,938
United States,2008,discuss4,1,571.756421276399,ypccc_combo,938
United States,2008,discuss4,2,716.043088867323,ypccc_combo,938
United States,2008,discuss4,3,765.495374093073,ypccc_combo,938
United States,2008,discuss4,4,98.3645454965571,ypccc_combo,938
United States,2008,harm4,1,465.261500069319,ypccc_combo,938
United States,2008,harm4,2,509.843560238458,ypccc_combo,938
United States,2008,harm4,3,469.331688155645,ypccc_combo,938
United States,2008,harm4,4,205.359489810065,ypccc_combo,938
United States,2008,harm_dev4,1,270.922519524932,ypccc_combo,938
United States,2008,harm_dev4,2,224.62037986968,ypccc_combo,938
United States,2008,harm_dev4,3,459.351226951338,ypccc_combo,938
United States,2008,harm_dev4,4,671.051009750913,ypccc_combo,938
United States,2008,harm_future4,1,210.579731041176,ypccc_combo,938
United States,2008,harm_future4,2,155.677193955358,ypccc_combo,938
United States,2008,harm_future4,3,358.316558066454,ypccc_combo,938
United States,2008,harm_future4,4,933.883155413836,ypccc_combo,938
United States,2008,harm_nature4,1,198.999195896298,ypccc_combo,938
United States,2008,harm_nature4,2,175.838125606544,ypccc_combo,938
United States,2008,harm_nature4,3,359.136595960996,ypccc_combo,938
United States,2008,harm_nature4,4,965.084597254956,ypccc_combo,938
United States,2008,harm_us4,1,290.92344378206,ypccc_combo,938
United States,2008,harm_us4,2,322.284893017237,ypccc_combo,938
United States,2008,harm_us4,3,600.367743426221,ypccc_combo,938
United States,2008,harm_us4,4,458.201173806553,ypccc_combo,938
United States,2008,policy_carbon4,1,142.106566846897,ypccc_combo,938
United States,2008,policy_carbon4,2,273.242626738759,ypccc_combo,938
United States,2008,policy_carbon4,3,1031.06764637922,ypccc_combo,938
United States,2008,policy_carbon4,4,608.628125144415,ypccc_combo,938
United States,2008,policy_mandate4,1,232.430740792088,ypccc_combo,938
United States,2008,policy_mandate4,2,349.696159711632,ypccc_combo,938
United States,2008,policy_mandate4,3,844.889042931744,ypccc_combo,938
United States,2008,policy_mandate4,4,631.08916308517,ypccc_combo,938
United States,2008,policy_research4,1,43.3620037894542,ypccc_combo,938
United States,2008,policy_research4,2,124.515753962752,ypccc_combo,938
United States,2008,policy_research4,3,792.836637552567,ypccc_combo,938
United States,2008,policy_research4,4,1101.18088636259,ypccc_combo,938
United States,2008,science4,1,52.9624474328758,ypccc_combo,938
United States,2008,science4,2,707.592698368686,ypccc_combo,938
United States,2008,science4,3,388.537954618975,ypccc_combo,938
United States,2008,science4,4,999.46618605296,ypccc_combo,938
United States,2008,when6,1,312.674448911687,ypccc_combo,938
United States,2008,when6,2,249.871546744304,ypccc_combo,938
United States,2008,when6,3,277.702832848098,ypccc_combo,938
United States,2008,when6,4,272.522593465502,ypccc_combo,938
United States,2008,when6,5,275.662738573871,ypccc_combo,938
United States,2008,when6,6,708.602745043671,ypccc_combo,938
United States,2010,belief3,1,385.927306395773,ypccc_combo,938
United States,2010,belief3,2,436.432688977126,ypccc_combo,938
United States,2010,belief3,3,1190.91266783573,ypccc_combo,938
United States,2010,cause4,1,152.448571768306,ypccc_combo,938
United States,2010,cause4,2,699.757488181324,ypccc_combo,938
United States,2010,cause4,3,128.670850296925,ypccc_combo,938
United States,2010,cause4,4,974.752761584099,ypccc_combo,938
United States,2010,concern4,1,402.653651449356,ypccc_combo,938
United States,2010,concern4,2,571.370575452522,ypccc_combo,938
United States,2010,concern4,3,790.169702244206,ypccc_combo,938
United States,2010,concern4,4,235.325721736456,ypccc_combo,938
United States,2010,discuss4,1,556.587378119163,ypccc_combo,938
United States,2010,discuss4,2,738.905180339826,ypccc_combo,938
United States,2010,discuss4,3,595.579636637109,ypccc_combo,938
United States,2010,discuss4,4,108.359820612592,ypccc_combo,938
United States,2010,harm4,1,546.821840294574,ypccc_combo,938
United States,2010,harm4,2,489.437595447262,ypccc_combo,938
United States,2010,harm4,3,445.142001176894,ypccc_combo,938
United States,2010,harm4,4,230.53132397146,ypccc_combo,938
United States,2010,harm_dev4,1,340.634848439449,ypccc_combo,938
United States,2010,harm_dev4,2,310.175554980203,ypccc_combo,938
United States,2010,harm_dev4,3,521.875323836854,ypccc_combo,938
United States,2010,harm_dev4,4,512.371456679041,ypccc_combo,938
United States,2010,harm_future4,1,270.649888592561,ypccc_combo,938
United States,2010,harm_future4,2,199.735932678288,ypccc_combo,938
United States,2010,harm_future4,3,433.121944530221,ypccc_combo,938
United States,2010,harm_future4,4,803.241558796177,ypccc_combo,938
United States,2010,harm_nature4,1,278.439569863578,ypccc_combo,938
United States,2010,harm_nature4,2,222.334456746685,ypccc_combo,938
United States,2010,harm_nature4,3,396.706709386894,ypccc_combo,938
United States,2010,harm_nature4,4,825.432304180522,ypccc_combo,938
United States,2010,harm_us4,1,382.778466228457,ypccc_combo,938
United States,2010,harm_us4,2,370.74117100909,ypccc_combo,938
United States,2010,harm_us4,3,566.648075872092,ypccc_combo,938
United States,2010,harm_us4,4,379.252244562295,ypccc_combo,938
United States,2010,policy_carbon4,1,249.062562404377,ypccc_combo,938
United States,2010,policy_carbon4,2,264.108359015304,ypccc_combo,938
United States,2010,policy_carbon4,3,959.623310971123,ypccc_combo,938
United States,2010,policy_carbon4,4,493.384438287161,ypccc_combo,938
United States,2010,policy_mandate4,1,377.415393141319,ypccc_combo,938
United States,2010,policy_mandate4,2,418.034637041093,ypccc_combo,938
United States,2010,policy_mandate4,3,775.436205345932,ypccc_combo,938
United States,2010,policy_mandate4,4,391.187076471643,ypccc_combo,938
United States,2010,policy_research4,1,73.4655709169891,ypccc_combo,938
United States,2010,policy_research4,2,205.008288394051,ypccc_combo,938
United States,2010,policy_research4,3,867.363191067298,ypccc_combo,938
United States,2010,policy_research4,4,815.522999623316,ypccc_combo,938
United States,2010,science4,1,92.4575978798462,ypccc_combo,938
United States,2010,science4,2,849.793825475361,ypccc_combo,938
United States,2010,science4,3,387.3754551693,ypccc_combo,938
United States,2010,science4,4,674.350716650928,ypccc_combo,938
United States,2010,when6,1,419.232199204329,ypccc_combo,938
United States,2010,when6,2,275.460665471326,ypccc_combo,938
United States,2010,when6,3,253.058275856952,ypccc_combo,938
United States,2010,when6,4,251.441949741564,ypccc_combo,938
United States,2010,when6,5,238.767163213013,ypccc_combo,938
United States,2010,when6,6,529.177622745443,ypccc_combo,938
United States,2011,belief3,1,341.515517930529,ypccc_combo,938
United States,2011,belief3,2,377.623844579801,ypccc_combo,938
United States,2011,belief3,3,1251.40094993048,ypccc_combo,938
United States,2011,cause4,1,157.812779179827,ypccc_combo,938
United States,2011,cause4,2,673.131983425178,ypccc_combo,938
United States,2011,cause4,3,131.561115425237,ypccc_combo,938
United States,2011,cause4,4,959.708267816989,ypccc_combo,938
United States,2011,concern4,1,346.441063210843,ypccc_combo,938
United States,2011,concern4,2,578.7639091765,ypccc_combo,938
United States,2011,concern4,3,838.325816590011,ypccc_combo,938
United States,2011,concern4,4,211.821830955306,ypccc_combo,938
United States,2011,discuss4,1,566.109934586462,ypccc_combo,938
United States,2011,discuss4,2,806.486693874205,ypccc_combo,938
United States,2011,discuss4,3,519.806226736768,ypccc_combo,938
United States,2011,discuss4,4,81.0076073053022,ypccc_combo,938
United States,2011,harm4,1,494.685149759448,ypccc_combo,938
United States,2011,harm4,2,552.733447182679,ypccc_combo,938
United States,2011,harm4,3,386.78774694435,ypccc_combo,938
United States,2011,harm4,4,197.405506214568,ypccc_combo,938
United States,2011,harm_dev4,1,310.141585602309,ypccc_combo,938
United States,2011,harm_dev4,2,362.85835340697,ypccc_combo,938
United States,2011,harm_dev4,3,487.77804268697,ypccc_combo,938
United States,2011,harm_dev4,4,445.580249481752,ypccc_combo,938
United States,2011,harm_future4,1,206.754390168533,ypccc_combo,938
United States,2011,harm_future4,2,228.157924283782,ypccc_combo,938
United States,2011,harm_future4,3,429.36893663371,ypccc_combo,938
United States,2011,harm_future4,4,764.431194199307,ypccc_combo,938
United States,2011,harm_nature4,1,219.559215801904,ypccc_combo,938
United States,2011,harm_nature4,2,271.291073562433,ypccc_combo,938
United States,2011,harm_nature4,3,367.807979130876,ypccc_combo,938
United States,2011,harm_nature4,4,783.554250602754,ypccc_combo,938
United States,2011,harm_us4,1,330.131935998951,ypccc_combo,938
United States,2011,harm_us4,2,449.951944559435,ypccc_combo,938
United States,2011,harm_us4,3,537.909546008242,ypccc_combo,938
United States,2011,harm_us4,4,302.63465657125,ypccc_combo,938
United States,2011,policy_carbon4,1,68.8733523718113,ypccc_combo,938
United States,2011,policy_carbon4,2,187.032407360194,ypccc_combo,938
United States,2011,policy_carbon4,3,456.174152073036,ypccc_combo,938
United States,2011,policy_carbon4,4,238.368330884959,ypccc_combo,938
United States,2011,policy_mandate4,1,283.226117553476,ypccc_combo,938
United States,2011,policy_mandate4,2,401.327757599904,ypccc_combo,938
United States,2011,policy_mandate4,3,799.738696840176,ypccc_combo,938
United States,2011,policy_mandate4,4,434.056065621263,ypccc_combo,938
United States,2011,policy_research4,1,106.254360316744,ypccc_combo,938
United States,2011,policy_research4,2,268.273356154028,ypccc_combo,938
United States,2011,policy_research4,3,757.094320862876,ypccc_combo,938
United States,2011,policy_research4,4,791.79831982445,ypccc_combo,938
United States,2011,science4,1,67.5791777876547,ypccc_combo,938
United States,2011,science4,2,772.119323593102,ypccc_combo,938
United States,2011,science4,3,351.300536530224,ypccc_combo,938
United States,2011,science4,4,782.667950970193,ypccc_combo,938
United States,2011,when6,1,352.162258189366,ypccc_combo,938
United States,2011,when6,2,262.106175439215,ypccc_combo,938
United States,2011,when6,3,271.140123013136,ypccc_combo,938
