"","country","year","item","r","n","survey","cc_rank"
"1","Germany",2010,"gen_evncon_6",1,131.700287828994,"ess_combo",53
"2","Germany",2010,"gen_evncon_6",2,600.91515242631,"ess_combo",53
"3","Germany",2010,"gen_evncon_6",3,1579.52240803064,"ess_combo",53
"4","Germany",2010,"gen_evncon_6",4,4623.32620604736,"ess_combo",53
"5","Germany",2010,"gen_evncon_6",5,11081.7555411133,"ess_combo",53
"6","Germany",2010,"gen_evncon_6",6,7374.05239963663,"ess_combo",53
"7","Germany",2016,"climate_chg_3",1,940.534023039126,"abk2016_de, abk2016_de",53
"8","Germany",2016,"climate_chg_3",2,692.886154540346,"abk2016_de, abk2016_de",53
"9","Germany",2016,"climate_chg_3",3,1560.54818591697,"abk2016_de, abk2016_de",53
"10","Germany",2016,"climate_chg_4",1,34.3894849624424,"ess8",53
"11","Germany",2016,"climate_chg_4",2,92.9371287391157,"ess8",53
"12","Germany",2016,"climate_chg_4",3,922.789682928172,"ess8",53
"13","Germany",2016,"climate_chg_4",4,1783.54078502768,"ess8",53
"14","Germany",2016,"climate_tax_5",1,244.776386063314,"ess8",53
"15","Germany",2016,"climate_tax_5",2,788.622984265708,"ess8",53
"16","Germany",2016,"climate_tax_5",3,666.93416041982,"ess8",53
"17","Germany",2016,"climate_tax_5",4,852.908856853865,"ess8",53
"18","Germany",2016,"climate_tax_5",5,259.720888321977,"ess8",53
"19","Germany",2016,"env_knowledge_4",1,57.2071268916149,"abk2016_de",53
"20","Germany",2016,"env_knowledge_4",2,657.813374382553,"abk2016_de",53
"21","Germany",2016,"env_knowledge_4",3,819.516826140083,"abk2016_de",53
"22","Germany",2016,"env_knowledge_4",4,64.7057305530261,"abk2016_de",53
"23","Germany",2016,"gen_clicon_4",1,171.51569422805,"abk2016_de, abk2016_de, abk2016_de",53
"24","Germany",2016,"gen_clicon_4",2,558.105480194072,"abk2016_de, abk2016_de, abk2016_de",53
"25","Germany",2016,"gen_clicon_4",3,1722.02744697529,"abk2016_de, abk2016_de, abk2016_de",53
"26","Germany",2016,"gen_clicon_4",4,2340.00840485526,"abk2016_de, abk2016_de, abk2016_de",53
"27","Germany",2016,"gen_clicon_5",1,328.117332913574,"abk2016_de, ess8",53
"28","Germany",2016,"gen_clicon_5",2,1531.90584022129,"abk2016_de, ess8",53
"29","Germany",2016,"gen_clicon_5",3,1782.50345918737,"abk2016_de, ess8",53
"30","Germany",2016,"gen_clicon_5",4,678.460783917746,"abk2016_de, ess8",53
"31","Germany",2016,"gen_clicon_5",5,115.904587836145,"abk2016_de, ess8",53
"32","Germany",2016,"spe_indchge_11",1,17.7072688317366,"ess8",53
"33","Germany",2016,"spe_indchge_11",2,5.97307380198109,"ess8",53
"34","Germany",2016,"spe_indchge_11",3,32.1274269861739,"ess8",53
"35","Germany",2016,"spe_indchge_11",4,38.5244059365683,"ess8",53
"36","Germany",2016,"spe_indchge_11",5,38.3124533623616,"ess8",53
"37","Germany",2016,"spe_indchge_11",6,133.881634194059,"ess8",53
"38","Germany",2016,"spe_indchge_11",7,110.590486538752,"ess8",53
"39","Germany",2016,"spe_indchge_11",8,229.662767599963,"ess8",53
"40","Germany",2016,"spe_indchge_11",9,516.828925413471,"ess8",53
"41","Germany",2016,"spe_indchge_11",10,568.305330792935,"ess8",53
"42","Germany",2016,"spe_indchge_11",11,1150.40234512607,"ess8",53
"43","Germany",2016,"spe_indchge_6",1,21.5069058595515,"ess8",53
"44","Germany",2016,"spe_indchge_6",2,77.3493856494453,"ess8",53
"45","Germany",2016,"spe_indchge_6",3,439.356208391921,"ess8",53
"46","Germany",2016,"spe_indchge_6",4,762.819424335731,"ess8",53
"47","Germany",2016,"spe_indchge_6",5,1116.02836947154,"ess8",53
"48","Germany",2016,"spe_indchge_6",6,418.893556095498,"ess8",53
"49","Germany",2016,"sup_govaction_5",1,2416.33581478346,"ess8, ess8, ess8, ess8, ess8, ess8, ess8, ess8, ess8",53
"50","Germany",2016,"sup_govaction_5",2,2857.0287243153,"ess8, ess8, ess8, ess8, ess8, ess8, ess8, ess8, ess8",53
"51","Germany",2016,"sup_govaction_5",3,4570.37185709333,"ess8, ess8, ess8, ess8, ess8, ess8, ess8, ess8, ess8",53
"52","Germany",2016,"sup_govaction_5",4,9002.08171281554,"ess8, ess8, ess8, ess8, ess8, ess8, ess8, ess8, ess8",53
"53","Germany",2016,"sup_govaction_5",5,6501.47593241915,"ess8, ess8, ess8, ess8, ess8, ess8, ess8, ess8, ess8",53
"54","Austria",2010,"gen_evncon_6",1,94.3171714025746,"ess_combo",42
"55","Austria",2010,"gen_evncon_6",2,258.326491705992,"ess_combo",42
"56","Austria",2010,"gen_evncon_6",3,859.61758370854,"ess_combo",42
"57","Austria",2010,"gen_evncon_6",4,2459.51248062353,"ess_combo",42
