survey,item,variable,values,question_text, response_categories,untranslated_question_text
eb18,concern4,v29,c(4:1),"Finally, more generally, how concerned or worried are you about the following: the possible atmosphere damages affecting the world's weather brought about by the gas (carbon dioxide) emitted from burning coal and oil products",1 a great deal / 2 a fair amount / 3 not very much / 4 not at all,
eb29,concern4,v169,c(4:1),"Finally, more generally, how concerned or worried are you about the following: the possible atmosphere damages affecting the world's weather brought about by the gas (carbon dioxide) emitted from burning coal and oil products",1 a great deal / 2 a fair amount / 3 not very much / 4 not at all,
eb58,concern4,v568,c(4:1),"At present, are you very worried, fairly worried, not very worried or not at all worried about the following topics? Climate change",1 very worried / 2 fairly worried / 3 not very worried / 4 not at all worried,
feb123,concern4,q6a,c(4:1),How worried are you about future trends in these areas: climate change,1 very much / 2 quite a lot / 3 not much / 4 not at all,
szazadveg_cc2021,concern5,climateconcerns,c(1:5),How worried are you about climate change?,1 not at all worried / 2 not very worried / 3 somewhat worried / 4 very worried / 5 extremely worried,
ypccc_combo,concern4,worry,c(1:4),How worried are you about climate change?,1 not at all worried / 2 not very worried / 3 somewhat worried / 4 very worried,
ypccc_combo,belief3,happening,c(1:3),"Recently, you may have noticed that global warming has been getting some attention in the news. Global warming refers to the idea that the world’s average temperature has been increasing over the past 150 years, may be increasing more in the future, and that the world’s climate may change as a result. What do you think: Do you think that global warming is happening?",1 no / 2 don't know / 3 yes,
ypccc_combo,cause4,cause_recoded ,c(3:6),"Assuming global warming is happening, do you think it is... ",3 neither because global warming isn’t happening / 4 caused mostly by natural changes in the environment / 5 caused by human activities and natural changes / 6 caused mostly by human activities,
ypccc_combo,science4,sci_consensus,"c(3, 2, 1, 4)",Which comes closest to your own view? ,1 don’t know enough to say / 2 there is a lot of disagreement among scientists about whether or not global warming is happening / 3 most scientists think global warming is not happening/ 4 most scientists think global warming is happening,
ypccc_combo,harm4,harm_personally,c(1:4),How much do you think global warming will harm: You personally ,1 not at all / 2 only a little / 3 a moderate amount / 4 a great deal,
ypccc_combo,harm_us4,harm_us,c(1:4),How much do you think global warming will harm: People in the United States,1 not at all / 2 only a little / 3 a moderate amount / 4 a great deal,
ypccc_combo,harm_dev4,harm_dev_countries,c(1:4),How much do you think global warming will harm: People in developing countries,1 not at all / 2 only a little / 3 a moderate amount / 4 a great deal,
ypccc_combo,harm_future4,harm_future_gen ,c(1:4),How much do you think global warming will harm: Future generations of people,1 not at all / 2 only a little / 3 a moderate amount / 4 a great deal,
ypccc_combo,harm_nature4,harm_plants_animals,c(1:4),How much do you think global warming will harm: Plant and animal species,1 not at all / 2 only a little / 3 a moderate amount / 4 a great deal,
ypccc_combo,when6,when_harm_us,c(1:6),When do you think global warming will start to harm people in the United States? ,1 never / 2 in 100 years / 3 in 50 years / 4 in 25 years / 5 in 10 years / 6 they are being harmed right now,
ypccc_combo,policy_carbon4,reg_co2_pollutant ,c(1:4),How much do you support or oppose the following policies? Regulate carbon dioxide (the primary greenhouse gas) as a pollutant.,1 strongly oppose / 2 somewhat oppose / 3 somewhat support / 4 strongly support,
ypccc_combo,policy_mandate4,reg_utilities,c(1:4),"How much do you support or oppose the following policies? Require electric utilities to produce at least 20% of their electricity from wind, solar, or other renewable energy sources, even if it costs the average household an extra $100 a year.",1 strongly oppose / 2 somewhat oppose / 3 somewhat support / 4 strongly support,
ypccc_combo,policy_research4,fund_research,c(1:4),"How much do you support or oppose the following policies? Fund more research into renewable energy sources, such as solar and wind power",1 strongly oppose / 2 somewhat oppose / 3 somewhat support / 4 strongly support,
ypccc_combo,policy_phaseout4,reg_coal_emissions,c(1:4),How much do you support or oppose the following policies? Set strict carbon dioxide emission limits on existing coal-fired power plants to reduce global warming and improve public health. Power plants would have to reduce their emissions and/or invest in renewable energy and energy efficiency. The cost of electricity to consumers and companies would likely increase,1 strongly oppose / 2 somewhat oppose / 3 somewhat support / 4 strongly support,
ypccc_combo,discuss4,discuss_gw,c(1:4),How often do you discuss global warming with your family and friends? ,1 never / 2 rarely / 3 occasionally / 4 often,
ypccc_combo,media5,hear_gw_media,c(1:5),"About how often do you hear about global warming in the media (TV, movies, radio, newspapers/news websites, magazines, etc.)?",1 never / 2 once a year or less often / 3 several times a year / 4 at least once a month / 5 at least once a week,
amb_combo,future_problem4,env2b,c(4:1),"If nothing is done to reduce climate change in the future, how serious a problem do you think it will be for [country]?",1 very serious / 2 somewhat serious / 3 not very serious / 4 not serious at all,
amb_antigua2016,future_problem4,env2b,c(4:1),"If nothing is done to reduce climate change in the future, how serious a problem do you think it will be for [country]?",1 very serious / 2 somewhat serious / 3 not very serious / 4 not serious at all,
amb_argentina2016,future_problem4,env2b,c(4:1),"If nothing is done to reduce climate change in the future, how serious a problem do you think it will be for [country]?",1 very serious / 2 somewhat serious / 3 not very serious / 4 not serious at all,
amb_argentina2018,future_problem4,env2b,c(4:1),"If nothing is done to reduce climate change in the future, how serious a problem do you think it will be for [country]?",1 very serious / 2 somewhat serious / 3 not very serious / 4 not serious at all,
amb_bolivia2016,future_problem4,env2b,c(4:1),"If nothing is done to reduce climate change in the future, how serious a problem do you think it will be for [country]?",1 very serious / 2 somewhat serious / 3 not very serious / 4 not serious at all,
amb_bolivia2018,future_problem4,env2b,c(4:1),"If nothing is done to reduce climate change in the future, how serious a problem do you think it will be for [country]?",1 very serious / 2 somewhat serious / 3 not very serious / 4 not serious at all,
amb_brazil2016,future_problem4,env2b,c(4:1),"If nothing is done to reduce climate change in the future, how serious a problem do you think it will be for [country]?",1 very serious / 2 somewhat serious / 3 not very serious / 4 not serious at all,
amb_brazil2018,future_problem4,env2b,c(4:1),"If nothing is done to reduce climate change in the future, how serious a problem do you think it will be for [country]?",1 very serious / 2 somewhat serious / 3 not very serious / 4 not serious at all,
amb_canada2016,future_problem4,env2b,c(4:1),"If nothing is done to reduce climate change in the future, how serious a problem do you think it will be for [country]?",1 very serious / 2 somewhat serious / 3 not very serious / 4 not serious at all,
amb_chile2016,future_problem4,env2b,c(4:1),"If nothing is done to reduce climate change in the future, how serious a problem do you think it will be for [country]?",1 very serious / 2 somewhat serious / 3 not very serious / 4 not serious at all,
amb_chile2018,future_problem4,env2b,c(4:1),"If nothing is done to reduce climate change in the future, how serious a problem do you think it will be for [country]?",1 very serious / 2 somewhat serious / 3 not very serious / 4 not serious at all,
amb_colombia2016,future_problem4,env2b,c(4:1),"If nothing is done to reduce climate change in the future, how serious a problem do you think it will be for [country]?",1 very serious / 2 somewhat serious / 3 not very serious / 4 not serious at all,
amb_costarica2016,future_problem4,env2b,c(4:1),"If nothing is done to reduce climate change in the future, how serious a problem do you think it will be for [country]?",1 very serious / 2 somewhat serious / 3 not very serious / 4 not serious at all,
amb_costarica2018,future_problem4,env2b,c(4:1),"If nothing is done to reduce climate change in the future, how serious a problem do you think it will be for [country]?",1 very serious / 2 somewhat serious / 3 not very serious / 4 not serious at all,
amb_dominica2016,future_problem4,env2b,c(4:1),"If nothing is done to reduce climate change in the future, how serious a problem do you think it will be for [country]?",1 very serious / 2 somewhat serious / 3 not very serious / 4 not serious at all,
amb_ecuador2018,future_problem4,env2b,c(4:1),"If nothing is done to reduce climate change in the future, how serious a problem do you think it will be for [country]?",1 very serious / 2 somewhat serious / 3 not very serious / 4 not serious at all,
amb_guyana2016,future_problem4,env2b,c(4:1),"If nothing is done to reduce climate change in the future, how serious a problem do you think it will be for [country]?",1 very serious / 2 somewhat serious / 3 not very serious / 4 not serious at all,
amb_panama2016,future_problem4,env2b,c(4:1),"If nothing is done to reduce climate change in the future, how serious a problem do you think it will be for [country]?",1 very serious / 2 somewhat serious / 3 not very serious / 4 not serious at all,
amb_panama2018,future_problem4,env2b,c(4:1),"If nothing is done to reduce climate change in the future, how serious a problem do you think it will be for [country]?",1 very serious / 2 somewhat serious / 3 not very serious / 4 not serious at all,
amb_stkittsnevis2016,future_problem4,env2b,c(4:1),"If nothing is done to reduce climate change in the future, how serious a problem do you think it will be for [country]?",1 very serious / 2 somewhat serious / 3 not very serious / 4 not serious at all,
amb_stlucia2016,future_problem4,env2b,c(4:1),"If nothing is done to reduce climate change in the future, how serious a problem do you think it will be for [country]?",1 very serious / 2 somewhat serious / 3 not very serious / 4 not serious at all,
amb_stvincent2016,future_problem4,env2b,c(4:1),"If nothing is done to reduce climate change in the future, how serious a problem do you think it will be for [country]?",1 very serious / 2 somewhat serious / 3 not very serious / 4 not serious at all,
amb_uruguay2016,future_problem4,env2b,c(4:1),"If nothing is done to reduce climate change in the future, how serious a problem do you think it will be for [country]?",1 very serious / 2 somewhat serious / 3 not very serious / 4 not serious at all,
amb_uruguay2018,future_problem4,env2b,c(4:1),"If nothing is done to reduce climate change in the future, how serious a problem do you think it will be for [country]?",1 very serious / 2 somewhat serious / 3 not very serious / 4 not serious at all,
amb_us2016,future_problem4,env2b,c(4:1),"If nothing is done to reduce climate change in the future, how serious a problem do you think it will be for [country]?",1 very serious / 2 somewhat serious / 3 not very serious / 4 not serious at all,
amb_us2018,future_problem4,env2b,c(4:1),"If nothing is done to reduce climate change in the future, how serious a problem do you think it will be for [country]?",1 very serious / 2 somewhat serious / 3 not very serious / 4 not serious at all,
amb_venezuela2016,future_problem4,env2b,c(4:1),"If nothing is done to reduce climate change in the future, how serious a problem do you think it will be for [country]?",1 very serious / 2 somewhat serious / 3 not very serious / 4 not serious at all,
amb_argentina2023,future_problem4,env2b,c(4:1),"If nothing is done to reduce climate change in the future, how serious a problem do you think it will be for [country]?",1 very serious / 2 somewhat serious / 3 not very serious / 4 not serious at all,
amb_bahamas2023,future_problem4,env2b,c(4:1),"If nothing is done to reduce climate change in the future, how serious a problem do you think it will be for [country]?",1 very serious / 2 somewhat serious / 3 not very serious / 4 not serious at all,
amb_belize2023,future_problem4,env2b,c(4:1),"If nothing is done to reduce climate change in the future, how serious a problem do you think it will be for [country]?",1 very serious / 2 somewhat serious / 3 not very serious / 4 not serious at all,
amb_bolivia2023,future_problem4,env2b,c(4:1),"If nothing is done to reduce climate change in the future, how serious a problem do you think it will be for [country]?",1 very serious / 2 somewhat serious / 3 not very serious / 4 not serious at all,
amb_brazil2023,future_problem4,env2b,c(4:1),"If nothing is done to reduce climate change in the future, how serious a problem do you think it will be for [country]?",1 very serious / 2 somewhat serious / 3 not very serious / 4 not serious at all,
amb_canada2023,future_problem4,env2b,c(4:1),"If nothing is done to reduce climate change in the future, how serious a problem do you think it will be for [country]?",1 very serious / 2 somewhat serious / 3 not very serious / 4 not serious at all,
amb_chile2023,future_problem4,env2b,c(4:1),"If nothing is done to reduce climate change in the future, how serious a problem do you think it will be for [country]?",1 very serious / 2 somewhat serious / 3 not very serious / 4 not serious at all,
amb_colombia2023,future_problem4,env2b,c(4:1),"If nothing is done to reduce climate change in the future, how serious a problem do you think it will be for [country]?",1 very serious / 2 somewhat serious / 3 not very serious / 4 not serious at all,
amb_costarica2023,future_problem4,env2b,c(4:1),"If nothing is done to reduce climate change in the future, how serious a problem do you think it will be for [country]?",1 very serious / 2 somewhat serious / 3 not very serious / 4 not serious at all,
amb_dominicanrepublic2023,future_problem4,env2b,c(4:1),"If nothing is done to reduce climate change in the future, how serious a problem do you think it will be for [country]?",1 very serious / 2 somewhat serious / 3 not very serious / 4 not serious at all,
amb_ecuador2023,future_problem4,env2b,c(4:1),"If nothing is done to reduce climate change in the future, how serious a problem do you think it will be for [country]?",1 very serious / 2 somewhat serious / 3 not very serious / 4 not serious at all,
amb_elsalvador2023,future_problem4,env2b,c(4:1),"If nothing is done to reduce climate change in the future, how serious a problem do you think it will be for [country]?",1 very serious / 2 somewhat serious / 3 not very serious / 4 not serious at all,
amb_grenada2023,future_problem4,env2b,c(4:1),"If nothing is done to reduce climate change in the future, how serious a problem do you think it will be for [country]?",1 very serious / 2 somewhat serious / 3 not very serious / 4 not serious at all,
amb_guatemala2023,future_problem4,env2b,c(4:1),"If nothing is done to reduce climate change in the future, how serious a problem do you think it will be for [country]?",1 very serious / 2 somewhat serious / 3 not very serious / 4 not serious at all,
amb_honduras2023,future_problem4,env2b,c(4:1),"If nothing is done to reduce climate change in the future, how serious a problem do you think it will be for [country]?",1 very serious / 2 somewhat serious / 3 not very serious / 4 not serious at all,
amb_jamaica2023,future_problem4,env2b,c(4:1),"If nothing is done to reduce climate change in the future, how serious a problem do you think it will be for [country]?",1 very serious / 2 somewhat serious / 3 not very serious / 4 not serious at all,
amb_mexico2023,future_problem4,env2b,c(4:1),"If nothing is done to reduce climate change in the future, how serious a problem do you think it will be for [country]?",1 very serious / 2 somewhat serious / 3 not very serious / 4 not serious at all,
amb_panama2023,future_problem4,env2b,c(4:1),"If nothing is done to reduce climate change in the future, how serious a problem do you think it will be for [country]?",1 very serious / 2 somewhat serious / 3 not very serious / 4 not serious at all,
amb_paraguay2023,future_problem4,env2b,c(4:1),"If nothing is done to reduce climate change in the future, how serious a problem do you think it will be for [country]?",1 very serious / 2 somewhat serious / 3 not very serious / 4 not serious at all,
amb_peru2023,future_problem4,env2b,c(4:1),"If nothing is done to reduce climate change in the future, how serious a problem do you think it will be for [country]?",1 very serious / 2 somewhat serious / 3 not very serious / 4 not serious at all,
amb_suriname2023,future_problem4,env2b,c(4:1),"If nothing is done to reduce climate change in the future, how serious a problem do you think it will be for [country]?",1 very serious / 2 somewhat serious / 3 not very serious / 4 not serious at all,
amb_trinidad2023,future_problem4,env2b,c(4:1),"If nothing is done to reduce climate change in the future, how serious a problem do you think it will be for [country]?",1 very serious / 2 somewhat serious / 3 not very serious / 4 not serious at all,
amb_uruguay2023,future_problem4,env2b,c(4:1),"If nothing is done to reduce climate change in the future, how serious a problem do you think it will be for [country]?",1 very serious / 2 somewhat serious / 3 not very serious / 4 not serious at all,
amb_us2023,future_problem4,env2b,c(4:1),"If nothing is done to reduce climate change in the future, how serious a problem do you think it will be for [country]?",1 very serious / 2 somewhat serious / 3 not very serious / 4 not serious at all,
de_ecg2020,concern4,f51,c(1:4),"Next, we would like to take a closer look at the topic of climate change and climate protection. How concerned are you by this topic?",1 not at all / 2 a little / 3 quite / 4 very,
de_ecg2020,cause6,f53,"c(6, 1:5)",What do you think causes climate change?,1 only through natural processes / 2 mainly through natural processes / 3 roughly equal parts through natural processes and human actions / 4 mainly through human actions / 5 only through human actions / 6 I doubt that climate change is currently occurring,
de_ecg2020,policy4,f510_d,c(4:1),"In order to slow climate change, politicians must act more quickly and consistently than before",1 completely agree / 2 tend to agree / 3 tend to disagree / 4 completely disagree,
de_ecg2020,personal4,f510_c,c(4:1),We can only stop climate change if we all take action ourselves and fundamentally change our way of life,1 completely agree / 2 tend to agree / 3 tend to disagree / 4 completely disagree,
de_ecg2020,policy_research4a,f511_e,c(1:4),There are various proposals for advancing climate protection. To what extent do you think the following political approaches are important for this? promote the development of climate-friendly products and technologies more strongly,1 not important at all / 2 rather not important / 3 rather important / 4 very important,
de_ecg2020,policy_mandate4a,f511_f,c(1:4),There are various proposals for advancing climate protection. To what extent do you think the following political approaches are important for this? ban particularly climate-damaging products (e.g. no more new oil heating systems from 2026) climate-friendly products and technologies more strongly,1 not important at all / 2 rather not important / 3 rather important / 4 very important,
de_ecg2020,policy_mandate4b,f511_b,c(1:4),"There are various proposals for advancing climate protection. To what extent do you think the following political approaches are important for this? continuously tighten the ecological requirements for products, technologies and services (such as energy consumption requirements)",1 not important at all / 2 rather not important / 3 rather important / 4 very important,
de_ecg2020,policy_tax4,f511_a,c(1:4),There are various proposals for advancing climate protection. To what extent do you think the following political approaches are important for this? make climate-damaging products more expensive so that climate-friendly products become more competitive,1 not important at all / 2 rather not important / 3 rather important / 4 very important,
de_ecg2020,policy_defund4,f511_g,c(1:4),There are various proposals for advancing climate protection. To what extent do you think the following political approaches are important for this? reduce climate-damaging subsidies (e.g. abolish the tax exemption for aviation fuel),1 not important at all / 2 rather not important / 3 rather important / 4 very important,
